AAP_AGE,I_GENDER,I_HISP_K,I_RACEKR,KFLG_HIS,KFLG_RAC,I_EDUCM,KFLG_EDU,MOMHISP,MOMRACER,REGION,INT_LANG,OVERSAMP,A1Q01R,A1Q02R,A1Q03,A1Q04R,A1Q05R,A1Q06R,A1Q07R,A1Q08R,A1Q09R,A1Q10R,A1Q10_AR,A1Q10BZ1,A1Q10BZ2,A1Q10BZ3,A1Q10BZ4,A2Q01,A2Q02,A2Q03,A2Q04X01,A2Q04X02,A2Q04X03,A2Q04X04,A2Q04X05,A2Q04X06,A2Q05,A2Q06,A2Q07,A2Q08,ARANGE2,A3Q01,A3Q01_A,A3Q02,A3Q02_A,A3Q03,A3Q03_A,A3Q04,A3Q04_A,A3Q05,A3Q05_A,A3Q06,A3Q06_A,A3Q07,A3Q07_A,A3Q08,A3Q08_A,A3Q09,A3Q09_A,A3Q10,A3Q10_A,A3Q11,A3Q12,A3Q12_A,A3Q13,A3Q13_A,A3Q14,A3Q14_A,A3Q15,A3Q15_A,A3Q16,A3Q16_A,A3Q17,A3Q17_A,A3Q18,A3Q18_A,A3Q19,A3Q19_A,A3Q20,A3Q20_A,A3Q21,A3Q21_A,A3Q22,A3Q22_A,A3Q23,A3Q23_A,A3Q24,A3Q25,A3Q25_A,A3Q26,A3Q26_A,A3Q27,A3Q27_A,A3Q28,A3Q28_A,A3Q29,A3Q29_A,A3Q30,A3Q30_A,A3Q31,A3Q31_A,A3Q32,A3Q32_A,A3Q33,A3Q33_A,A3Q34,A3Q34_A,A3Q35,A3Q35_A,A3Q36,A3Q36_A,A3Q37,A3Q38_A,A3Q38_B,A3Q38_C,A3Q38_D,A3Q39,A3Q39_A,A3Q40,A3Q40_A,A3Q41,A3Q41_A,A3Q42,A3Q42_A,A3Q43,A3Q43_A,A3Q44,A3Q44_A,A3Q45,A3Q45_A,A3Q46,A3Q46_A,A3Q47,A3Q47A01,A3Q47A02,A3Q47A03,A3Q47A04,A3Q47A05,A3Q47A06,A3Q47A07,A3Q48,A3Q48A01,A3Q48A02,A3Q48A03,A3Q48A04,A3Q49,A3Q49_A,A3Q50,A3Q50_A,A3Q51,A3Q51_A,A3Q51_B,A3Q52,A3Q54,A3Q55,A3Q56,BTHWGTR,BFEEDR,A4Q01_A,A4Q01_B,A4Q01_C,A4Q02X1R,A4Q02X2R,A4Q02X3R,A4Q02X4R,A4Q02X5R,A4Q03,A4Q04,A4Q05,A4Q06,A4Q07X01,A4Q07X02,A4Q07X03,A4Q07X04,A4Q07X05,A4Q08X01,A4Q08X02,A4Q08X03,A4Q08X04,A4Q08X05,A4Q09,A4Q10R,A4Q11,A4Q12,A5Q01X01,A5Q01X02,A5Q01X03,A5Q01X04,A5Q01X05,A5Q02,A5Q03,A5Q04,A5Q05X01,A5Q05X02,A5Q05X03,A5Q05X04,A5Q05X05,A5Q05X06,A5Q05X07,A5Q05X08,A5Q05X09,A5Q05X10,A5Q05X11,A5Q06X01,A5Q06X02,A5Q06X03,A5Q06X04,A5Q06X05,A5Q07,A5Q07_A,A5Q07_B,A5Q08,A5Q08_A,A5Q08_B,A5Q09_A,A5Q09_B,BASE9,A5Q09CX1,A5Q09CX2,A5Q09CX3,A5Q09CX4,A5Q09D11,A5Q09D12,A5Q09D13,A5Q09D14,A5Q09D21,A5Q09D22,A5Q09D23,A5Q09D24,A5Q09D31,A5Q09D32,A5Q09D33,A5Q09D34,A5Q09D41,A5Q09D42,A5Q09D43,A5Q09D44,A5Q09D51,A5Q09D52,A5Q09D53,A5Q09D54,A5Q09E11,A5Q09E12,A5Q09E13,A5Q09E14,A5Q09E21,A5Q09E22,A5Q09E23,A5Q09E24,A5Q09E31,A5Q09E32,A5Q09E33,A5Q09E34,A5Q10R,A5Q11R,A5Q12R,A6Q01X01,A6Q01X02,A6Q01X03,A6Q01X04,A6Q01X05,A6Q03,MED_SCHP,A6Q05,A6Q06,IND_OTH,A6Q09,A6Q09_A1,A6Q09_A2,A6Q09_A3,A6Q09_A4,A6Q09_A5,A6Q09_A6,A6Q09_A7,A6Q09_A8,A6Q09_B,A6Q09_C,INSURE,A6Q10,A6Q10_A,A6Q11,A6Q12,A6Q13,A6Q14,A7Q01_AR,NUMCHILR,NUM4_35,A7Q05,A7Q07,A7Q08R,A7Q11R,A7Q12,XBESTINC,STRATUM,PSU,FINALRKW,COMPLETE
30,1,1,5,0,0,3,0,1,5,1,2,1,7,7,1,0,8,8,8,98,98,8,8,8,8,8,8,30,2,1,8,8,8,8,8,8,10,8,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,0,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,0,8,8,0,1,1,8,5,30,2,3,1,1,1,2,2,1,2,105,3,1,3,4,3,3,3,1,1,1,1,1,0,10,1,1,5,2,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,0,3,3,3,3,3,3,0,1,0,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,0,0,1,1,3,1,1,1,5,3,21,1,1,5,13186482,1399.6115699,COMPLETE
22,1,0,1,0,0,3,0,0,1,1,1,0,16,3,1,1,1,2,2,61,1,2,8,0,1,0,0,30,2,1,8,8,8,8,8,8,6,4,1,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,1,8,0,1,0,1,1,8,0,0,0,1,0,1,0,0,0,0,0,1,1,8,0,3,3,4,4,0,1,0,1,1,1,0,1,0,1,0,6,0,1,1,0,1,1,0,0,0,0,0,1,0,8,8,8,8,1,0,0,8,0,8,8,0,1,0,5,3,31,1,1,1,1,2,1,2,2,2,50,2,1,3,4,4,2,1,0,1,0,1,1,0,4,2,2,4,5,5,6,4,2,1,1,3,3,3,3,3,2,3,3,2,3,2,0,0,0,1,0,0,8,8,0,8,8,1,1,1,1,0,0,0,0,8,8,8,0,8,8,8,1,8,8,8,0,8,8,8,1,8,8,8,1,8,8,8,0,8,8,8,0,8,8,8,1,0,15,3,3,3,3,3,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,6,1,1,0,2,1,1,1,1,3,29,0,4,7,13186731,6798.2664106,COMPLETE
8,1,1,5,0,0,3,0,1,5,3,1,1,3,3,1,1,1,1,1,50,3,1,1,0,0,1,0,5,2,1,8,8,8,8,8,8,8,1,1,1,1,1,8,1,8,1,8,1,8,0,1,1,8,1,8,6,8,1,8,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,0,0,1,1,1,1,1,1,0,6,1,1,1,0,6,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,1,0,0,1,1,4,5,151,1,1,1,4,1,3,2,3,1,10,3,2,2,4,8,8,8,1,1,1,1,0,0,40,1,2,2,2,5,6,2,2,1,0,3,3,3,3,3,3,3,3,4,3,1,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,40,3,3,3,2,1,0,0,1,0,1,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,0,1,1,2,2,2,1,1,1,29,1,3,9,13186753,1251.3801938,COMPLETE
12,1,0,1,0,0,3,0,0,1,2,1,0,4,4,3,1,1,1,1,40,1,2,8,0,1,0,0,15,2,1,8,8,8,8,8,8,10,1,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,1,0,1,0,0,9,4,0,1,2,1,2,1,1,1,3,0,30,3,2,4,4,8,8,8,1,1,1,1,0,0,24,2,2,6,2,4,5,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,1,1,0,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,3,3,3,3,3,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,1,0,8,2,2,1,2,1,1,34,1,8,4,13186812,6746.4861031,COMPLETE
14,1,1,1,0,0,2,0,1,1,4,1,1,10,4,1,1,1,2,1,47,5,1,1,1,0,0,0,15,2,1,8,8,8,8,8,8,9,1,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,0,0,1,8,0,0,1,8,1,8,0,0,1,8,1,8,0,0,1,8,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,0,0,0,1,1,5,5,151,1,1,1,3,1,2,1,3,2,40,2,2,2,3,8,8,8,0,1,1,1,1,1,40,2,2,5,2,5,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,3,3,3,3,3,3,3,0,1,0,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,1,1,0,2,2,1,2,1,3,23,1,3,16,13186825,5366.6265847,COMPLETE
34,1,0,2,0,0,3,0,0,2,3,1,1,4,1,1,1,1,1,1,50,1,3,8,8,8,8,8,10,2,1,8,8,8,8,8,8,8,1,1,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,8,0,0,0,1,1,8,0,2,2,4,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,1,1,0,8,1,1,1,0,1,1,6,5,361,2,2,1,1,1,1,2,2,2,100,3,2,2,2,2,3,1,1,1,0,1,1,1,40,2,2,6,5,6,6,1,1,1,1,3,3,2,3,3,3,3,3,2,3,2,0,0,1,0,1,1,1,0,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,3,3,3,3,3,3,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,0,1,1,1,2,2,1,2,1,1,33,1,97,14,13186847,3512.1263134,COMPLETE
13,1,0,2,0,0,1,0,0,2,3,1,1,12,6,3,1,1,1,2,28,1,1,3,8,8,8,8,25,2,1,8,8,8,8,8,8,8,2,1,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,0,1,1,8,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,2,4,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,8,8,8,8,0,8,1,1,0,8,8,0,1,1,6,2,14,2,2,1,2,1,1,2,1,2,30,3,1,3,3,8,8,8,0,1,1,1,0,0,10,1,1,4,3,4,5,3,1,1,1,3,3,3,1,3,2,3,3,3,3,1,1,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,0,3,3,3,3,3,2,1,1,0,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,1,1,1,2,1,1,1,5,3,17,1,96,12,13186867,3565.6894855,COMPLETE
17,2,0,1,0,0,3,0,0,1,3,1,0,5,2,1,1,1,2,1,60,5,2,8,1,1,0,0,10,2,1,8,8,8,8,8,8,10,1,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,1,8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,4,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,0,8,8,0,1,1,2,3,21,1,1,1,1,1,1,1,3,0,30,2,4,3,3,8,8,8,1,1,1,1,0,0,40,2,2,2,5,1,4,4,2,1,1,3,3,3,3,3,2,2,3,2,2,2,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,2,2,2,2,2,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,0,0,0,8,2,1,1,1,1,1,33,1,6,13,13186990,3864.8393547,COMPLETE
15,2,0,1,0,0,3,0,0,1,2,1,0,6,4,1,1,1,1,1,39,1,3,8,8,8,8,8,10,3,1,8,8,8,8,8,8,8,2,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,1,8,0,0,0,1,1,8,0,1,1,8,0,1,0,0,0,0,0,0,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,4,3,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,1,0,0,0,1,10,5,0,1,2,1,2,1,2,2,4,2,50,3,1,2,4,8,8,8,1,1,1,1,0,1,18,1,2,6,3,5,6,3,1,0,0,2,1,1,1,1,1,1,2,2,3,1,0,0,0,0,1,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,2,3,3,3,3,2,0,1,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,1,1,0,2,2,2,2,1,1,26,0,5,4,13187036,14742.983917,COMPLETE
16,1,0,2,0,0,3,0,0,2,3,1,1,6,2,4,0,8,8,8,98,98,8,8,8,8,8,8,15,2,1,8,8,8,8,8,8,10,8,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,8,1,8,0,0,1,8,1,8,0,0,1,8,1,8,0,0,1,8,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,8,8,8,8,8,8,8,0,8,8,8,8,1,0,1,0,1,1,1,0,0,0,6,3,0,1,1,1,1,2,2,1,4,2,120,2,1,3,3,8,8,8,1,1,1,1,1,0,3,1,1,6,1,6,6,2,1,1,1,3,3,3,3,3,3,3,3,4,3,3,0,0,1,1,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,0,10,3,3,3,3,3,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,1,0,8,2,2,1,2,1,2,28,0,5,8,13187055,797.86782403,COMPLETE
6,1,1,1,0,0,3,0,1,5,4,1,1,7,3,1,1,1,1,2,43,1,3,8,8,8,8,8,15,2,1,8,8,8,8,8,8,7,3,1,3,1,1,8,1,8,1,8,1,8,1,8,0,0,0,1,0,0,6,8,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,2,2,0,0,1,1,1,1,1,1,6,1,1,1,0,1,6,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,1,1,0,1,1,4,5,151,1,2,2,1,2,1,3,3,0,125,3,2,2,4,8,8,8,1,1,0,1,0,1,0,8,8,5,3,5,6,2,2,1,1,3,2,3,2,2,3,3,3,3,3,2,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,0,0,3,3,3,3,3,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,1,0,8,2,3,2,1,1,3,34,1,7,15,13187105,2720.9050452,COMPLETE
29,2,0,2,0,0,2,0,0,2,3,1,1,4,3,3,0,8,8,8,98,98,8,8,8,8,8,8,15,2,1,8,8,8,8,8,8,8,8,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,1,8,1,8,1,8,0,0,1,8,1,8,0,0,0,0,1,8,0,3,4,4,4,0,0,0,0,1,1,1,1,0,6,0,6,0,0,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,0,0,0,1,0,6,3,30,2,2,1,3,1,3,1,2,2,20,2,1,2,2,3,4,2,0,0,0,1,0,0,0,8,8,5,6,4,6,4,2,1,1,3,1,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,2,2,2,3,3,1,1,0,0,0,8,8,8,8,8,8,8,8,8,8,98,1,1,12,1,1,1,0,1,2,1,1,3,1,35,1,2,10,13187146,4159.5974764,COMPLETE
23,1,0,2,0,0,2,0,0,2,3,1,1,6,5,1,1,2,1,1,39,6,1,3,8,8,8,8,10,3,1,8,8,8,8,8,8,6,2,2,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,0,0,1,8,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,1,4,4,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,0,8,8,0,1,1,4,5,31,2,2,1,2,1,1,1,1,96,10,4,1,2,4,1,1,1,0,1,1,1,1,0,40,1,2,6,1,3,4,1,1,1,1,1,2,1,3,3,1,3,3,2,1,1,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,2,2,3,2,2,3,2,0,1,0,0,0,8,8,8,8,8,8,8,8,8,8,98,1,1,2,1,1,1,1,3,1,1,1,5,2,19,1,96,14,13187167,2863.1268903,COMPLETE
6,2,1,5,0,0,2,0,1,5,4,1,1,10,4,1,0,8,8,8,98,98,8,8,8,8,8,8,5,3,0,0,0,0,1,0,1,6,8,1,1,1,1,8,0,1,0,1,1,8,1,8,0,1,0,0,0,0,0,0,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,4,4,0,6,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,1,1,0,0,1,0,4,0,1,2,1,4,1,1,1,1,0,15,2,2,4,4,8,8,8,1,0,1,0,0,0,0,8,8,1,5,1,4,5,3,1,0,3,2,1,3,3,3,3,3,3,3,2,0,1,0,0,0,0,8,8,0,8,8,1,1,1,1,0,0,0,1,8,8,8,0,8,8,8,1,8,8,8,0,8,8,8,0,8,8,8,0,8,8,8,0,8,8,8,0,8,8,8,0,0,2,3,2,3,2,1,1,1,0,0,0,8,8,8,8,8,8,8,8,8,8,98,1,1,1,1,0,1,1,1,4,2,1,5,3,22,1,2,15,13187213,8150.5469846,COMPLETE
13,1,0,1,0,0,3,0,0,1,2,1,0,5,3,3,1,1,1,1,52,1,1,1,1,0,0,0,10,2,1,8,8,8,8,8,8,10,1,1,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,0,0,0,0,1,8,0,1,0,0,0,0,0,0,1,8,0,0,0,0,1,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,1,0,0,0,0,8,7,0,1,1,1,3,2,2,3,1,0,55,4,3,2,4,8,8,8,1,1,0,1,0,0,45,2,2,6,2,6,6,1,1,1,1,3,3,3,3,2,3,3,3,3,3,3,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,3,3,3,3,3,3,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,0,1,0,8,2,3,1,1,1,1,29,1,6,4,13187233,6714.1155399,COMPLETE
25,2,1,5,0,0,2,0,1,5,4,1,1,4,0,3,0,8,8,8,98,98,8,8,8,8,8,8,98,8,8,8,8,8,8,8,8,98,8,1,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,1,0,1,0,0,1,8,0,0,0,0,0,0,6,8,0,0,0,1,1,8,0,1,1,6,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,8,8,8,8,0,8,0,8,1,0,0,0,1,1,12,96,331,1,2,1,6,2,2,3,4,4,25,3,1,2,2,2,4,2,1,1,0,1,0,0,995,8,8,6,1,6,6,1,1,0,0,1,1,2,3,3,2,3,3,1,3,3,0,0,0,0,0,0,8,8,0,8,8,1,1,1,1,0,0,0,0,8,8,8,1,8,8,8,0,8,8,8,0,8,8,8,0,8,8,8,1,8,8,8,0,8,8,8,0,8,8,8,0,0,0,3,3,3,3,3,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,1,1,1,0,2,4,1,2,3,2,32,0,7,17,13187238,4011.2475061,COMPLETE
32,2,1,1,0,0,1,0,1,5,1,2,0,1,1,3,0,8,8,8,98,98,8,8,8,8,8,8,25,2,1,8,8,8,8,8,8,10,8,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,1,8,1,8,1,8,1,8,1,8,0,1,1,8,1,8,0,1,1,8,1,8,0,2,1,4,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,1,0,0,0,1,1,18,4,361,1,1,1,2,1,2,3,4,1,15,3,2,4,4,4,4,1,0,0,0,0,0,0,4,2,2,1,5,6,6,4,2,0,0,3,3,3,3,3,2,1,3,3,3,3,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,3,3,3,2,3,0,1,0,0,0,8,8,8,8,8,8,8,8,8,8,98,1,1,6,0,0,1,1,3,4,1,2,1,1,23,0,2,7,13187471,15420.242552,COMPLETE
30,1,0,1,0,0,1,0,0,1,1,1,0,5,4,1,1,1,3,1,45,96,1,6,8,8,8,8,15,2,1,8,8,8,8,8,8,9,2,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,1,1,8,1,8,1,8,0,1,0,0,0,0,0,0,0,0,1,8,0,1,3,3,2,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,8,8,8,8,0,8,0,8,0,8,8,0,1,1,9,4,151,2,2,2,1,1,2,2,3,4,50,1,4,3,4,2,3,4,1,1,0,1,0,1,1,2,1,3,5,3,5,3,2,0,1,1,3,2,3,3,1,2,2,2,1,3,0,0,0,0,0,0,8,8,1,1,6,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,1,3,3,3,2,1,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,98,1,0,98,6,1,1,0,2,1,1,1,5,1,19,0,3,7,13187488,17168.147185,COMPLETE
26,2,1,5,0,0,1,0,1,5,4,2,1,5,5,3,0,8,8,8,98,98,8,8,8,8,8,8,15,2,1,8,8,8,8,8,8,9,8,1,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,0,1,0,1,1,8,1,8,0,1,0,1,0,1,1,8,0,1,0,1,1,8,0,3,2,4,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,8,8,8,8,8,8,8,0,8,8,8,8,1,1,0,8,0,8,8,0,1,1,4,4,361,1,2,1,4,1,1,1,1,6,3,2,3,2,3,4,2,3,0,1,0,1,0,0,0,8,8,5,2,4,5,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,3,3,3,3,4,0,0,0,0,0,1,8,8,8,8,8,8,8,8,0,98,0,8,98,8,8,0,8,2,1,1,1,1,3,20,1,1,17,13187568,4008.1348189,COMPLETE
